2026-09-24T16:22:13Z INFO Logging to /tmp/logs/update_2026-09-24T16-22-13Z.log.
2026-09-24T16:22:13Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-24T16:22:15Z INFO Processing 371 items (55793 already recorded).
2026-09-24T16:23:18Z INFO [41/371] 1292d6c6-7ddc-442e-8dde-7b3d5235a3de: does not qualify; 1.1 s; peak memory 229 MiB.
2026-09-24T16:23:19Z INFO [42/371] 1292d6f5-5233-4410-86b0-e264efd93419: does not qualify; 1.0 s; peak memory 229 MiB.
2026-09-24T16:23:21Z INFO [43/371] 1292e86b-d3f9-4339-8db1-2d4f32991cb5: does not qualify; 1.6 s; peak memory 229 MiB.
2026-09-24T16:23:23Z INFO [44/371] 12937b49-7e20-4f1d-825c-e1a4c4845eea: does not qualify; 2.1 s; peak memory 230 MiB.
2026-09-24T16:23:24Z INFO [45/371] 129420b8-cc3c-4ee7-bebb-6263b92f417e: does not qualify; 1.1 s; peak memory 230 MiB.
2026-09-24T16:23:25Z INFO [46/371] 1294d09a-25be-4dc7-b1c6-f7de92a05c70: does not qualify; 0.8 s; peak memory 230 MiB.
2026-09-24T16:23:26Z INFO [47/371] 1294d69e-e19d-47b8-80a6-ce816f2df700: does not qualify; 1.2 s; peak memory 230 MiB.
2026-09-24T16:23:27Z INFO [48/371] 12974b9b-d644-4d93-a062-d93f83527331: does not qualify; 0.7 s; peak memory 230 MiB.
2026-09-24T16:23:28Z INFO [49/371] 129763d1-9fc7-4a67-86ea-ab736d01feaa: does not qualify; 1.0 s; peak memory 230 MiB.
2026-09-24T16:23:31Z INFO [50/371] 129862a4-b096-4c25-aa1f-2ab79ef5ea0b: does not qualify; 3.1 s; peak memory 352 MiB.
2026-09-24T16:23:31Z INFO [50/371] 129862a4-b096-4c25-aa1f-2ab79ef5ea0b: checkpointed 55843 records.
2026-09-24T16:23:58Z INFO [51/371] 12993b3c-8ee6-4f05-a7c9-78bfe1c156b5: does not qualify; 27.3 s; peak memory 459 MiB.
2026-09-24T16:23:59Z INFO [52/371] 12995456-f6c0-455d-891c-37b9ebcf5cfe: does not qualify; 1.2 s; peak memory 459 MiB.
2026-09-24T16:24:01Z INFO [53/371] 12997001-0b2b-48c0-9385-3b1363974296: does not qualify; 1.2 s; peak memory 459 MiB.
2026-09-24T16:24:02Z INFO [54/371] 12998c30-8061-474d-8795-91c8761f9eed: does not qualify; 1.1 s; peak memory 459 MiB.
2026-09-24T16:24:08Z INFO [55/371] 1299e442-2bf9-44e8-96ea-5859793b42a6: does not qualify; 5.9 s; peak memory 459 MiB.
2026-09-24T16:24:09Z INFO [56/371] 129a6037-8f9c-4b9e-8059-69234e3f03ca: does not qualify; 1.2 s; peak memory 459 MiB.
2026-09-24T16:24:10Z INFO [57/371] 129aad8c-9462-4cec-8135-e2942ac22fc4: does not qualify; 1.1 s; peak memory 459 MiB.
2026-09-24T16:24:11Z INFO [58/371] 129aff73-56eb-4c5e-aa22-f529c53971de: does not qualify; 1.0 s; peak memory 459 MiB.
2026-09-24T16:24:17Z INFO [59/371] 129bb052-13cd-42f5-bf90-9b36bcf03d3c: does not qualify; 6.1 s; peak memory 459 MiB.
2026-09-24T16:24:19Z INFO [60/371] 129bdaf9-15c6-47f9-ac91-d062cb3271c4: does not qualify; 1.8 s; peak memory 459 MiB.
2026-09-24T16:24:20Z INFO [61/371] 129c0f12-95b4-4f59-aa7c-a09a69454b4f: does not qualify; 1.1 s; peak memory 459 MiB.
2026-09-24T16:24:21Z INFO [62/371] 129c8b2a-c7d2-4d75-a1e6-d0778cce4737: does not qualify; 1.3 s; peak memory 459 MiB.
2026-09-24T16:24:32Z INFO [63/371] 129cb6b3-4257-49a8-8545-c568c75d6ec2: does not qualify; 10.5 s; peak memory 459 MiB.
2026-09-24T16:24:33Z INFO [64/371] 129ccdd9-7656-4bd7-9804-1466256bf597: does not qualify; 0.9 s; peak memory 459 MiB.
2026-09-24T16:24:33Z INFO [65/371] 129d4d0d-25b7-464b-9502-00a13e39051f: does not qualify; 0.6 s; peak memory 459 MiB.
2026-09-24T16:24:43Z INFO [66/371] 129d6ec8-a060-474e-9d8c-a46048964c3d: does not qualify; 9.5 s; peak memory 459 MiB.
2026-09-24T16:24:45Z INFO [67/371] 129de5a2-ac65-4444-abf2-c6ea3e88485a: does not qualify; 2.3 s; peak memory 459 MiB.
2026-09-24T16:24:46Z INFO [68/371] 129e8555-fd09-4fd5-8e72-c4fc25e3def7: does not qualify; 0.9 s; peak memory 459 MiB.
2026-09-24T16:24:51Z INFO [69/371] 129ee20a-9d75-4606-bfa2-96a9f4c9c6ff: does not qualify; 4.6 s; peak memory 459 MiB.
2026-09-24T16:24:52Z INFO [70/371] 129ee71d-ad3d-435c-8bf2-69a73844dea2: does not qualify; 1.2 s; peak memory 459 MiB.
2026-09-24T16:24:53Z INFO [71/371] 129f48de-e32f-48ff-8edd-5e2787fe64cf: does not qualify; 1.0 s; peak memory 459 MiB.
2026-09-24T16:24:54Z INFO [72/371] 129f98b1-8839-4be5-84e3-281e7b8635fa: does not qualify; 0.9 s; peak memory 459 MiB.
2026-09-24T16:24:55Z INFO [73/371] 129fff6a-eb37-495d-b0c6-b5ec86005b58: does not qualify; 1.3 s; peak memory 459 MiB.
