2026-09-23T02:58:14Z INFO Logging to /tmp/logs/update_2026-09-23T02-58-14Z.log.
2026-09-23T02:58:14Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-23T02:58:16Z INFO Processing 351 items (54321 already recorded).
2026-09-23T02:59:02Z INFO [15/351] 0f87c788-39d7-4eb8-8ca3-b705462dc1e9: does not qualify; 2.6 s; peak memory 238 MiB.
2026-09-23T02:59:04Z INFO [16/351] 0f881b26-889e-4c41-a94f-80d9c9b41cba: does not qualify; 2.1 s; peak memory 238 MiB.
2026-09-23T02:59:08Z INFO [17/351] 0f88898e-19fc-4478-be8c-9f7a624bf212: does not qualify; 3.7 s; peak memory 238 MiB.
2026-09-23T02:59:18Z INFO [18/351] 0f889cc8-8514-461d-8f22-cdc8015da876: does not qualify; 9.9 s; peak memory 639 MiB.
2026-09-23T02:59:19Z INFO [19/351] 0f88f324-719e-4325-bda1-8f11a62ecfa2: does not qualify; 1.6 s; peak memory 639 MiB.
2026-09-23T02:59:27Z INFO [20/351] 0f890585-8e8f-4076-a1ae-4c4af7cbd25d: does not qualify; 8.2 s; peak memory 639 MiB.
2026-09-23T02:59:29Z INFO [21/351] 0f89e65b-4a24-4900-bfa4-212ec38623ae: does not qualify; 1.5 s; peak memory 639 MiB.
2026-09-23T02:59:37Z INFO [22/351] 0f8a1370-5d27-4ca1-aae8-63e467b2f048: does not qualify; 7.7 s; peak memory 639 MiB.
2026-09-23T02:59:38Z INFO [23/351] 0f8a3b6a-c7ad-448e-a134-cb75d5bc554f: does not qualify; 1.4 s; peak memory 639 MiB.
2026-09-23T02:59:39Z INFO [24/351] 0f8a6a41-8c63-42b1-9a27-de9d63f8aa70: does not qualify; 1.3 s; peak memory 639 MiB.
2026-09-23T02:59:42Z INFO [25/351] 0f8adec4-2cf7-4ee0-af98-f31aee169d9e: does not qualify; 2.7 s; peak memory 639 MiB.
2026-09-23T02:59:44Z INFO [26/351] 0f8ae877-0e36-4b06-933c-33fac9b862be: does not qualify; 2.1 s; peak memory 639 MiB.
2026-09-23T02:59:46Z INFO [27/351] 0f8b01e9-e614-4005-9773-76e8f2db8cad: does not qualify; 1.9 s; peak memory 639 MiB.
2026-09-23T02:59:48Z INFO [28/351] 0f8b4e93-297b-41cd-a771-8805523c140c: does not qualify; 2.0 s; peak memory 639 MiB.
2026-09-23T02:59:50Z INFO [29/351] 0f8bc91c-0303-4530-928c-f92837119f22: does not qualify; 2.0 s; peak memory 639 MiB.
2026-09-23T02:59:51Z INFO [30/351] 0f8c245c-a445-4dae-8623-86894e93f86f: does not qualify; 1.5 s; peak memory 639 MiB.
2026-09-23T03:00:01Z INFO [31/351] 0f8d4f2c-a64c-47e1-8264-802ff826b38c: does not qualify; 9.2 s; peak memory 639 MiB.
2026-09-23T03:00:03Z INFO [32/351] 0f8e3231-a720-4c21-9696-763373dce857: does not qualify; 2.4 s; peak memory 639 MiB.
2026-09-23T03:00:06Z INFO [33/351] 0f8e3a69-aaf8-4ed4-8339-fd6b583e1769: does not qualify; 2.7 s; peak memory 639 MiB.
2026-09-23T03:00:08Z INFO [34/351] 0f8f2479-0e28-488f-aa75-83cd4dfbab02: does not qualify; 1.9 s; peak memory 639 MiB.
2026-09-23T03:00:11Z INFO [35/351] 0f8f4df7-4c3d-4b4f-a791-f588348d570e: does not qualify; 2.9 s; peak memory 639 MiB.
2026-09-23T03:00:12Z INFO [36/351] 0f91ab05-7400-4361-9b09-a45881675872: does not qualify; 1.5 s; peak memory 639 MiB.
2026-09-23T03:00:14Z INFO [37/351] 0f920343-7289-4654-b3cf-4d25d8233a44: does not qualify; 1.4 s; peak memory 639 MiB.
2026-09-23T03:00:15Z INFO [38/351] 0f92291f-88c4-4cda-86ca-aaa09bcb4d20: does not qualify; 1.3 s; peak memory 639 MiB.
2026-09-23T03:00:18Z INFO [39/351] 0f92fbac-bc40-4e34-bcc7-edaa78a2203b: does not qualify; 2.7 s; peak memory 639 MiB.
2026-09-23T03:00:19Z INFO [40/351] 0f933869-b67c-4114-b547-238a6355b889: does not qualify; 1.7 s; peak memory 639 MiB.
2026-09-23T03:00:21Z INFO [41/351] 0f93c498-4ce9-4314-9138-cf9c939048bd: does not qualify; 1.9 s; peak memory 639 MiB.
2026-09-23T03:00:23Z INFO [42/351] 0f94bdb7-5f7f-4450-8d52-95d693688ea6: does not qualify; 1.5 s; peak memory 639 MiB.
2026-09-23T03:00:25Z INFO [43/351] 0f94dba9-252f-48cf-b5d0-ce07fd07dc1e: does not qualify; 2.3 s; peak memory 639 MiB.
2026-09-23T03:00:30Z INFO [44/351] 0f9533d6-300e-4b51-b269-fa38e76f87e6: does not qualify; 5.4 s; peak memory 639 MiB.
2026-09-23T03:00:32Z INFO [45/351] 0f958a02-8ab8-4b47-bbc6-3c47dc2a145f: does not qualify; 2.0 s; peak memory 639 MiB.
2026-09-23T03:00:34Z INFO [46/351] 0f96e32c-53ff-4c2e-9aa5-d537f31592bc: does not qualify; 1.5 s; peak memory 639 MiB.
2026-09-23T03:00:35Z INFO [47/351] 0f97172c-1eb3-4786-bd79-cd116fc50b9c: does not qualify; 1.4 s; peak memory 639 MiB.
2026-09-23T03:00:37Z INFO [48/351] 0f971eed-df4a-403c-9485-8276a8a8c9e2: does not qualify; 1.4 s; peak memory 639 MiB.
2026-09-23T03:00:38Z INFO [49/351] 0f98b70f-19a6-4065-b6e7-9d2b8ac24a7a: does not qualify; 1.5 s; peak memory 639 MiB.
