2026-09-18T15:41:49Z INFO Logging to /tmp/logs/update_2026-09-18T15-41-49Z.log.
2026-09-18T15:41:49Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-18T15:41:50Z INFO Processing 748 items (49147 already recorded).
2026-09-18T15:44:39Z INFO [41/748] 04cfcee1-25bc-487b-aa97-c58435632eaa: does not qualify; 1.1 s; peak memory 259 MiB.
2026-09-18T15:44:44Z INFO [42/748] 04cff2cf-1bc2-4979-b725-03b30ccafe5b: does not qualify; 5.2 s; peak memory 259 MiB.
2026-09-18T15:45:17Z INFO [43/748] 04d15b81-ffdf-40a1-8d14-c2c727393219: does not qualify; 32.4 s; peak memory 305 MiB.
2026-09-18T15:45:18Z INFO [44/748] 04d37eca-c836-49d0-9384-697a7a78adc7: does not qualify; 1.4 s; peak memory 305 MiB.
2026-09-18T15:45:21Z INFO [45/748] 04d381be-2b99-47e2-bbc5-ccf589079750: does not qualify; 2.5 s; peak memory 305 MiB.
2026-09-18T15:45:22Z INFO [46/748] 04d3cd83-6508-47d3-8f0d-a19c87827f81: does not qualify; 1.7 s; peak memory 305 MiB.
2026-09-18T15:45:23Z INFO [47/748] 04d84bb5-c2ae-4171-b16c-a037108f9860: does not qualify; 1.1 s; peak memory 305 MiB.
2026-09-18T15:45:31Z INFO [48/748] 04d89014-425a-4f6e-8dfa-0081a882e9ce: does not qualify; 7.5 s; peak memory 305 MiB.
2026-09-18T15:45:33Z INFO [49/748] 04d897bc-85b7-430d-9b61-9f917bc1c12d: does not qualify; 2.2 s; peak memory 305 MiB.
2026-09-18T15:45:34Z INFO [50/748] 04d8ca1b-d1a8-4b60-b9ab-f38c774f3fe4: does not qualify; 1.4 s; peak memory 305 MiB.
2026-09-18T15:45:34Z INFO [50/748] 04d8ca1b-d1a8-4b60-b9ab-f38c774f3fe4: checkpointed 49197 records.
