2026-09-19T02:48:28Z INFO Logging to /tmp/logs/update_2026-09-19T02-48-28Z.log.
2026-09-19T02:48:28Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-19T02:48:30Z INFO Processing 368 items (49896 already recorded).
2026-09-19T02:50:02Z INFO [36/368] 065eb967-79a0-4a95-b089-6f69fcdfb62d: does not qualify; 1.8 s; peak memory 245 MiB.
2026-09-19T02:50:04Z INFO [37/368] 065ecdf5-9f65-4033-a914-3c6a23c9ee0d: does not qualify; 1.4 s; peak memory 245 MiB.
2026-09-19T02:50:05Z INFO [38/368] 065fb623-256e-4537-bbc2-5956e35e675e: does not qualify; 1.3 s; peak memory 245 MiB.
2026-09-19T02:50:06Z INFO [39/368] 06603511-00ed-450a-aca2-a5f9372f1f05: does not qualify; 1.3 s; peak memory 245 MiB.
2026-09-19T02:50:08Z INFO [40/368] 06604994-2a1d-432e-9838-eaee4cf8c95a: does not qualify; 1.5 s; peak memory 245 MiB.
2026-09-19T02:50:10Z INFO [41/368] 066081a4-b69c-4808-8a43-f724d8633f14: does not qualify; 2.3 s; peak memory 245 MiB.
2026-09-19T02:50:12Z INFO [42/368] 0660ec7d-23c8-474c-b720-b5c0fc78d01b: does not qualify; 1.9 s; peak memory 245 MiB.
2026-09-19T02:50:20Z INFO [43/368] 06619f0a-40a6-401e-853f-7a31f3f096e8: does not qualify; 7.8 s; peak memory 245 MiB.
2026-09-19T02:50:21Z INFO [44/368] 0661b2f2-3fb4-437d-9e9b-66e727a0f45d: does not qualify; 1.2 s; peak memory 245 MiB.
2026-09-19T02:50:24Z INFO [45/368] 0661c340-d589-40bb-ab5d-c225a5c504c3: does not qualify; 3.3 s; peak memory 245 MiB.
2026-09-19T02:50:27Z INFO [46/368] 0661f13e-7eff-4247-aa95-2eae7b0c3960: does not qualify; 2.7 s; peak memory 245 MiB.
2026-09-19T02:50:28Z INFO [47/368] 066263e7-9b25-402b-aa7d-f0458407b1f1: does not qualify; 1.3 s; peak memory 245 MiB.
2026-09-19T02:50:30Z INFO [48/368] 0662a888-4665-4c5f-b2d8-838b3566f9ae: does not qualify; 1.6 s; peak memory 245 MiB.
2026-09-19T02:50:31Z INFO [49/368] 066302da-48a8-4bb6-99ef-073175c3fbff: does not qualify; 1.6 s; peak memory 245 MiB.
2026-09-19T02:50:33Z INFO [50/368] 066333ef-182a-43fa-81fb-88e3b616d707: does not qualify; 1.1 s; peak memory 245 MiB.
2026-09-19T02:50:33Z INFO [50/368] 066333ef-182a-43fa-81fb-88e3b616d707: checkpointed 49946 records.
2026-09-19T02:50:34Z INFO [51/368] 06639d76-dba2-41b8-960e-a7f021ec0264: does not qualify; 1.2 s; peak memory 245 MiB.
2026-09-19T02:50:37Z INFO [52/368] 0664090e-391b-4336-8e54-6cd92ca0346c: does not qualify; 3.3 s; peak memory 245 MiB.
2026-09-19T02:50:39Z INFO [53/368] 0664def5-43fb-4126-81ef-eb5ac37952d4: does not qualify; 1.8 s; peak memory 245 MiB.
2026-09-19T02:50:41Z INFO [54/368] 0665065c-e427-442e-a315-42233a9d6984: does not qualify; 1.8 s; peak memory 245 MiB.
2026-09-19T02:50:43Z INFO [55/368] 06651b7f-133b-43aa-b4ff-c8ccd271b49a: does not qualify; 2.1 s; peak memory 245 MiB.
2026-09-19T02:50:51Z INFO [56/368] 0665772e-6147-4057-85be-8caf934b2975: does not qualify; 8.2 s; peak memory 245 MiB.
2026-09-19T02:50:52Z INFO [57/368] 0666c67b-5338-44f1-a199-0f9fe1341f43: does not qualify; 1.2 s; peak memory 245 MiB.
2026-09-19T02:50:54Z INFO [58/368] 0666f5c2-5991-4cf5-afca-cc7131fd81af: does not qualify; 1.4 s; peak memory 245 MiB.
2026-09-19T02:50:55Z INFO [59/368] 0668b06a-e095-41aa-9a5d-634035f9be47: does not qualify; 1.8 s; peak memory 245 MiB.
2026-09-19T02:50:58Z INFO [60/368] 06696c11-d9c4-4b98-b994-1e0cc198140d: does not qualify; 2.3 s; peak memory 245 MiB.
2026-09-19T02:50:59Z INFO [61/368] 0669daa2-eefb-4ffc-9e52-37fea0a92681: does not qualify; 1.7 s; peak memory 245 MiB.
2026-09-19T02:51:03Z INFO [62/368] 066a734a-f816-4392-aedf-414b4cc0996f: does not qualify; 3.2 s; peak memory 245 MiB.
2026-09-19T02:51:04Z INFO [63/368] 066ae256-4ec2-4da4-a5f2-c8e106beadcd: does not qualify; 1.6 s; peak memory 245 MiB.
2026-09-19T02:51:06Z INFO [64/368] 066b83e3-abd2-4e8a-92d1-b8852b924095: does not qualify; 1.4 s; peak memory 245 MiB.
2026-09-19T02:51:13Z INFO [65/368] 066b97ad-c2df-44a8-a5aa-97b88f3f4170: does not qualify; 7.8 s; peak memory 245 MiB.
2026-09-19T02:51:15Z INFO [66/368] 066ba34d-a0bd-4f6d-90de-1b9decfe64a9: does not qualify; 1.9 s; peak memory 245 MiB.
2026-09-19T02:51:17Z INFO [67/368] 066bfd6e-57ae-4fa2-9672-9101c374df6c: does not qualify; 2.1 s; peak memory 245 MiB.
2026-09-19T02:51:19Z INFO [68/368] 066d38d5-1a29-403e-9faa-01eaf255b2a1: does not qualify; 1.8 s; peak memory 245 MiB.
2026-09-19T02:51:25Z INFO [69/368] 066d4585-4e66-4588-91a9-ce90944f5943: does not qualify; 5.8 s; peak memory 245 MiB.
2026-09-19T02:51:27Z INFO [70/368] 066e8e7d-688b-4d06-8ef5-f266d187d4ba: does not qualify; 2.2 s; peak memory 245 MiB.
2026-09-19T02:51:37Z INFO [71/368] 066ee288-2f8c-4e66-9b37-72ab6748659c: does not qualify; 9.5 s; peak memory 246 MiB.
2026-09-19T02:51:38Z INFO [72/368] 066f1ceb-fe09-4b77-a07b-749c676de3bc: does not qualify; 1.6 s; peak memory 246 MiB.
2026-09-19T02:51:40Z INFO [73/368] 066fc6ea-7bd6-4858-a891-67c8ec07e205: does not qualify; 1.7 s; peak memory 246 MiB.
2026-09-19T02:51:46Z INFO [74/368] 066fe628-6620-4edc-941b-acd959ea1f25: does not qualify; 6.3 s; peak memory 246 MiB.
2026-09-19T02:51:48Z INFO [75/368] 0670ff4b-76ab-49c3-af60-449a7b3180ba: does not qualify; 2.1 s; peak memory 246 MiB.
2026-09-19T02:51:51Z INFO [76/368] 06713c4b-2793-4215-8347-0aa7ff15f92c: does not qualify; 2.2 s; peak memory 246 MiB.
2026-09-19T02:51:52Z INFO [77/368] 06716380-e13d-46ae-8e7e-fa21c09903ce: does not qualify; 1.3 s; peak memory 246 MiB.
2026-09-19T02:51:53Z INFO [78/368] 067173e7-2f5c-4e3a-9994-d2a9f19953f9: does not qualify; 1.4 s; peak memory 246 MiB.
2026-09-19T02:51:55Z INFO [79/368] 0671a1e4-f049-4f43-af47-dc24c11e7938: does not qualify; 2.0 s; peak memory 246 MiB.
2026-09-19T02:51:59Z INFO [80/368] 0671abb8-d94d-4b0d-b9b7-a2ea65b6b79e: does not qualify; 3.9 s; peak memory 246 MiB.
2026-09-19T02:52:01Z INFO [81/368] 06725e0c-b79a-487e-90f4-2fceb008408d: does not qualify; 1.4 s; peak memory 246 MiB.
2026-09-19T02:52:03Z INFO [82/368] 0672c6ea-b8a9-4268-afec-a5c0d7b40f6c: does not qualify; 2.2 s; peak memory 246 MiB.
2026-09-19T02:52:11Z INFO [83/368] 06737f00-1e12-4ffe-96b9-958a9ec6b770: does not qualify; 8.1 s; peak memory 246 MiB.
2026-09-19T02:52:20Z INFO [84/368] 0674b485-d393-44f1-80cf-85ad1eebd888: does not qualify; 8.9 s; peak memory 605 MiB.
2026-09-19T02:52:21Z INFO [85/368] 06752a67-dfaf-4987-840c-6b42ba1e1cc7: does not qualify; 1.6 s; peak memory 605 MiB.
2026-09-19T02:52:23Z INFO [86/368] 06760ea0-f991-4f89-ac3a-b7f77d3ee5ca: does not qualify; 1.3 s; peak memory 605 MiB.
2026-09-19T02:52:25Z INFO [87/368] 06770aa1-7f0c-4bca-926c-1986745019d9: does not qualify; 2.2 s; peak memory 605 MiB.
2026-09-19T02:52:27Z INFO [88/368] 067720cb-f739-4a07-b0e6-527c3138beb0: does not qualify; 2.2 s; peak memory 605 MiB.
2026-09-19T02:52:29Z INFO [89/368] 06779cd8-6ab1-428c-99b0-7c4b688cb5df: does not qualify; 1.6 s; peak memory 605 MiB.
2026-09-19T02:52:36Z INFO [90/368] 0677fdc3-5d92-4614-88d4-55ca0edf23da: does not qualify; 7.0 s; peak memory 605 MiB.
2026-09-19T02:52:38Z INFO [91/368] 067803a4-c8cb-4420-a04f-97858aa1dcdb: does not qualify; 2.2 s; peak memory 605 MiB.
2026-09-19T02:52:41Z INFO [92/368] 067899a7-e8d6-40d0-a8c7-5abeb032299d: does not qualify; 3.5 s; peak memory 605 MiB.
2026-09-19T02:52:43Z INFO [93/368] 0678dd83-d6c0-4fa0-9b12-11a77f62458f: does not qualify; 1.9 s; peak memory 605 MiB.
2026-09-19T02:52:47Z INFO [94/368] 0679437d-0e7c-424c-a8ee-5a23e63ae4a3: does not qualify; 3.3 s; peak memory 605 MiB.
2026-09-19T02:52:48Z INFO [95/368] 0679a6e6-4c44-4e66-ba4e-f1f3922cd155: does not qualify; 1.6 s; peak memory 605 MiB.
2026-09-19T02:52:51Z INFO [96/368] 067ab4db-be11-46c0-9988-ae251e4d92b4: does not qualify; 2.4 s; peak memory 605 MiB.
2026-09-19T02:52:52Z INFO [97/368] 067b1310-aa5a-4e65-967f-6f05df4993c3: does not qualify; 1.4 s; peak memory 605 MiB.
2026-09-19T02:52:55Z INFO [98/368] 067e0869-88d7-4858-8671-64bd9a4718b3: does not qualify; 2.6 s; peak memory 605 MiB.
2026-09-19T02:52:57Z INFO [99/368] 067e2a15-cd15-4f21-90d7-2368247d0440: does not qualify; 2.6 s; peak memory 605 MiB.
2026-09-19T02:52:59Z INFO [100/368] 067e99ec-def6-4ea4-a48f-4110ac40a042: does not qualify; 1.3 s; peak memory 605 MiB.
2026-09-19T02:52:59Z INFO [100/368] 067e99ec-def6-4ea4-a48f-4110ac40a042: checkpointed 49996 records.
2026-09-19T02:53:01Z INFO [101/368] 067ea211-38bd-4f0a-87d4-107267bd9b3b: does not qualify; 1.9 s; peak memory 605 MiB.
2026-09-19T02:53:02Z INFO [102/368] 067ea819-e5c4-418b-b391-ec5d803bbbc6: does not qualify; 1.8 s; peak memory 605 MiB.
2026-09-19T02:53:09Z INFO [103/368] 067f8a20-3286-4b8a-aab5-97caa767bf14: does not qualify; 6.3 s; peak memory 605 MiB.
2026-09-19T02:53:10Z INFO [104/368] 06800a34-27c5-4b64-bd5b-af269ad51f88: does not qualify; 1.4 s; peak memory 605 MiB.
2026-09-19T02:53:12Z INFO [105/368] 0680a097-c76e-4382-8258-357f58305cad: does not qualify; 1.8 s; peak memory 605 MiB.
2026-09-19T02:53:14Z INFO [106/368] 0681337e-3295-4bf2-bca6-4d88b3174b1c: does not qualify; 2.1 s; peak memory 605 MiB.
2026-09-19T02:53:16Z INFO [107/368] 06822e81-78a2-489b-8385-98ed313a0bc1: does not qualify; 1.6 s; peak memory 605 MiB.
2026-09-19T02:53:17Z INFO [108/368] 06823506-5894-477c-b550-f647813328bb: does not qualify; 1.9 s; peak memory 605 MiB.
2026-09-19T02:53:19Z INFO [109/368] 06839373-286c-4716-b9cd-ed9dbff95b70: does not qualify; 1.3 s; peak memory 605 MiB.
2026-09-19T02:53:26Z INFO [110/368] 06840152-7a68-4e42-a305-47635ddf2804: does not qualify; 7.7 s; peak memory 605 MiB.
2026-09-19T02:53:34Z INFO [111/368] 068544af-4a80-4c85-aacc-7f424bdddebe: does not qualify; 7.3 s; peak memory 605 MiB.
2026-09-19T02:53:36Z INFO [112/368] 0685cdec-9137-4d51-8a2c-7a03c41c3602: does not qualify; 1.9 s; peak memory 605 MiB.
2026-09-19T02:53:37Z INFO [113/368] 0685f8af-b619-44f4-97f9-730de0f0a0cc: does not qualify; 1.7 s; peak memory 605 MiB.
2026-09-19T02:53:39Z INFO [114/368] 06865f7a-9300-491f-b453-0579e039226d: does not qualify; 1.9 s; peak memory 605 MiB.
2026-09-19T02:53:41Z INFO [115/368] 0686d53a-7143-445f-b9b3-2db75fb0174c: does not qualify; 1.3 s; peak memory 605 MiB.
2026-09-19T02:53:42Z INFO [116/368] 0689954e-c04d-4da7-9c55-ffef5688914f: does not qualify; 1.3 s; peak memory 605 MiB.
2026-09-19T02:53:44Z INFO [117/368] 0689bdf1-3d01-4a85-81bb-5e7893a8c61f: does not qualify; 1.6 s; peak memory 605 MiB.
2026-09-19T02:53:45Z INFO [118/368] 068b1166-fad3-48d9-aeb9-f0c357b7e071: does not qualify; 1.7 s; peak memory 605 MiB.
2026-09-19T02:53:46Z INFO [119/368] 068b739d-8203-494f-ac0a-62bac0e9c629: does not qualify; 1.3 s; peak memory 605 MiB.
2026-09-19T02:53:48Z INFO [120/368] 068b9f1c-70d1-4bfe-a128-d3eb2266b2f5: does not qualify; 1.8 s; peak memory 605 MiB.
2026-09-19T02:53:51Z INFO [121/368] 068c3275-84c4-4fbe-b2ae-3f3b783d6ae4: does not qualify; 2.3 s; peak memory 605 MiB.
2026-09-19T02:53:52Z INFO [122/368] 068d32d5-549d-4bd9-a382-8614eb35bb41: does not qualify; 1.3 s; peak memory 605 MiB.
2026-09-19T02:53:58Z INFO [123/368] 068dc429-acd4-4c92-8c2b-c27fe3189b83: does not qualify; 5.8 s; peak memory 605 MiB.
2026-09-19T02:54:00Z INFO [124/368] 068e4a07-d6fb-42c2-a25a-06d488c926a5: does not qualify; 2.0 s; peak memory 605 MiB.
2026-09-19T02:54:10Z INFO [125/368] 068e68ea-e5a3-4e6f-8b0c-c4f16a87bc5c: does not qualify; 10.3 s; peak memory 605 MiB.
2026-09-19T02:54:17Z INFO [126/368] 068f7c23-e2cb-4a7e-92ea-2f9664da5f66: qualifies; 6.6 s; peak memory 605 MiB.
2026-09-19T02:54:24Z INFO [127/368] 06901957-e0d6-4878-9777-c6548606507a: does not qualify; 7.1 s; peak memory 605 MiB.
2026-09-19T02:54:25Z INFO [128/368] 069032c7-9400-4a34-bed7-00b5b703e412: does not qualify; 1.4 s; peak memory 605 MiB.
2026-09-19T02:54:27Z INFO [129/368] 06903dde-6011-402f-91e0-3c09f75d822e: does not qualify; 2.2 s; peak memory 605 MiB.
2026-09-19T02:54:28Z INFO [130/368] 06907ff5-f13f-47d8-983c-1b4ad19e7d20: does not qualify; 1.2 s; peak memory 605 MiB.
2026-09-19T02:54:31Z INFO [131/368] 0690d756-6b17-4950-8aec-5ad3f576a8f5: does not qualify; 2.4 s; peak memory 605 MiB.
2026-09-19T02:54:32Z INFO [132/368] 06917472-079d-4450-aff0-3be17d684a7c: does not qualify; 1.5 s; peak memory 605 MiB.
2026-09-19T02:54:34Z INFO [133/368] 06934eb7-ba6e-4cd3-9ed8-c58d4f839b0d: does not qualify; 1.8 s; peak memory 605 MiB.
2026-09-19T02:54:36Z INFO [134/368] 0693fb77-1a5e-4d76-9007-c6bdc597d8cd: does not qualify; 1.8 s; peak memory 605 MiB.
2026-09-19T02:54:37Z INFO [135/368] 06945228-6d8d-4dd2-a4fb-2f0b4909a370: does not qualify; 1.4 s; peak memory 605 MiB.
2026-09-19T02:54:39Z INFO [136/368] 0694ea10-f91f-4812-8dfb-b07ac270fc98: does not qualify; 2.1 s; peak memory 605 MiB.
2026-09-19T02:54:42Z INFO [137/368] 06951bd4-070e-410a-988f-4be2c7799d7a: does not qualify; 2.5 s; peak memory 605 MiB.
