2026-09-17T20:53:16Z INFO Logging to /tmp/logs/update_2026-09-17T20-53-16Z.log.
2026-09-17T20:53:16Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-17T20:53:18Z INFO Processing 372 items (48410 already recorded).
2026-09-17T20:54:28Z INFO [42/372] 0332cbac-390d-42b3-ad6d-ac42d1bf1092: does not qualify; 0.7 s; peak memory 254 MiB.
2026-09-17T20:54:29Z INFO [43/372] 03332538-34cc-44c5-b960-273bdfbdcd73: does not qualify; 0.9 s; peak memory 254 MiB.
2026-09-17T20:54:30Z INFO [44/372] 03338fd2-c2b9-45ea-89d0-1854e6729102: does not qualify; 1.2 s; peak memory 254 MiB.
2026-09-17T20:54:31Z INFO [45/372] 0333f1fc-6191-4b7e-9c50-6bffc8e226bf: does not qualify; 1.0 s; peak memory 254 MiB.
2026-09-17T20:54:32Z INFO [46/372] 03343aa5-19af-40a3-908a-199aa7ac621b: does not qualify; 0.9 s; peak memory 254 MiB.
2026-09-17T20:54:34Z INFO [47/372] 033462b2-6abb-46df-a2fe-85fc771a18f7: does not qualify; 1.8 s; peak memory 254 MiB.
2026-09-17T20:54:35Z INFO [48/372] 03357166-3956-4de7-8501-4d5e8d69c6ce: does not qualify; 1.2 s; peak memory 254 MiB.
2026-09-17T20:54:37Z INFO [49/372] 0335edb5-00c2-4b57-87a4-9ff9afb2aaec: does not qualify; 2.4 s; peak memory 254 MiB.
2026-09-17T20:54:38Z INFO [50/372] 03376a6e-24e2-4dae-a823-c32b693ad95e: does not qualify; 1.3 s; peak memory 254 MiB.
2026-09-17T20:54:39Z INFO [50/372] 03376a6e-24e2-4dae-a823-c32b693ad95e: checkpointed 48460 records.
2026-09-17T20:54:39Z INFO [51/372] 0337823f-ffab-4e5b-9816-b6efdcceade3: does not qualify; 1.0 s; peak memory 254 MiB.
2026-09-17T20:54:41Z INFO [52/372] 0338279c-e3fa-4d30-9bec-8342785951fa: does not qualify; 1.0 s; peak memory 254 MiB.
2026-09-17T20:54:42Z INFO [53/372] 03383de2-51cc-467a-9b50-99e5190964c0: does not qualify; 1.0 s; peak memory 254 MiB.
2026-09-17T20:54:43Z INFO [54/372] 0338f7d1-7504-4746-ae6d-dc45564297b3: does not qualify; 1.0 s; peak memory 254 MiB.
2026-09-17T20:54:43Z INFO [55/372] 033999bf-6d3d-4747-a29b-c298723ab87d: does not qualify; 0.9 s; peak memory 254 MiB.
2026-09-17T20:54:54Z INFO [56/372] 0339f9c8-7306-44a4-8ded-a74556b40692: does not qualify; 10.5 s; peak memory 257 MiB.
2026-09-17T20:54:55Z INFO [57/372] 033a1f6a-80d2-4a49-b9a8-9e6d5ced0d93: does not qualify; 0.7 s; peak memory 257 MiB.
2026-09-17T20:54:55Z INFO [58/372] 033afa80-ba97-4b5a-acb9-bbd1c098de14: does not qualify; 0.8 s; peak memory 257 MiB.
2026-09-17T20:54:56Z INFO [59/372] 033b5034-77c7-4a7c-8b99-61355fc77c85: does not qualify; 0.9 s; peak memory 257 MiB.
2026-09-17T20:54:58Z INFO [60/372] 033b80a3-9b9b-4727-888d-e0ab54a1d97f: does not qualify; 1.8 s; peak memory 257 MiB.
2026-09-17T20:54:59Z INFO [61/372] 033d382a-2c62-4ffe-bb74-96206a90494f: does not qualify; 1.1 s; peak memory 257 MiB.
2026-09-17T20:55:01Z INFO [62/372] 033d8d0b-cea4-46cc-bfb3-e61d0c0752fb: does not qualify; 1.7 s; peak memory 257 MiB.
2026-09-17T20:55:02Z INFO [63/372] 033d9c38-e089-4acd-98d1-f9ddea1d2f1f: does not qualify; 0.9 s; peak memory 257 MiB.
2026-09-17T20:55:03Z INFO [64/372] 033e4d1b-3d5a-47f9-9bd9-84f13d5b61b0: does not qualify; 0.8 s; peak memory 257 MiB.
2026-09-17T20:55:08Z INFO [65/372] 033e5861-9814-4ea9-954f-274d18eb7bee: does not qualify; 4.8 s; peak memory 257 MiB.
2026-09-17T20:55:09Z INFO [66/372] 033ec5e9-54cd-42e6-89dc-8c322e840af7: does not qualify; 1.0 s; peak memory 257 MiB.
2026-09-17T20:55:13Z INFO [67/372] 033ec793-815e-45de-8b0a-5a757a24088e: does not qualify; 4.5 s; peak memory 257 MiB.
2026-09-17T20:55:14Z INFO [68/372] 033ecaf2-4476-4e89-b35f-62e574b72276: does not qualify; 0.9 s; peak memory 257 MiB.
2026-09-17T20:55:15Z INFO [69/372] 033f1196-2003-4a85-9a8d-74c8be3f959c: does not qualify; 0.9 s; peak memory 257 MiB.
2026-09-17T20:55:16Z INFO [70/372] 033f30d2-fded-43cc-92bf-5072c7f2ea79: does not qualify; 1.0 s; peak memory 257 MiB.
2026-09-17T20:55:17Z INFO [71/372] 033ff4cc-fbf8-417e-ba0a-e80109ef5570: does not qualify; 1.6 s; peak memory 257 MiB.
2026-09-17T20:55:18Z INFO [72/372] 0340759f-74fc-41fc-9fc9-605074496141: does not qualify; 0.7 s; peak memory 257 MiB.
2026-09-17T20:55:19Z INFO [73/372] 0340dde7-e96d-4987-a010-3b1df685f62d: does not qualify; 1.3 s; peak memory 257 MiB.
2026-09-17T20:55:20Z INFO [74/372] 0341d644-1a05-46c4-8ca1-0a92757b37e9: does not qualify; 0.9 s; peak memory 257 MiB.
2026-09-17T20:55:21Z INFO [75/372] 03420196-33e6-459e-92e4-90fc641aa13b: does not qualify; 1.0 s; peak memory 257 MiB.
2026-09-17T20:55:33Z INFO [76/372] 0342434a-7129-40e7-9047-553015a90051: does not qualify; 11.5 s; peak memory 257 MiB.
2026-09-17T20:55:34Z INFO [77/372] 034337ce-552e-4693-a83c-51edff94dfde: does not qualify; 0.9 s; peak memory 257 MiB.
2026-09-17T20:55:35Z INFO [78/372] 03439f5b-5ab5-439c-84d4-76c216a1193e: does not qualify; 1.2 s; peak memory 257 MiB.
2026-09-17T20:55:37Z INFO [79/372] 0343e283-6f6b-476b-a17d-cdd0aa50c35b: does not qualify; 2.2 s; peak memory 257 MiB.
2026-09-17T20:55:38Z INFO [80/372] 03445840-960f-4596-bf0a-9a4b4bbb4f13: does not qualify; 0.9 s; peak memory 257 MiB.
2026-09-17T20:55:39Z INFO [81/372] 03455b72-9749-4c19-87c7-170f51106c83: does not qualify; 1.5 s; peak memory 257 MiB.
2026-09-17T20:55:40Z INFO [82/372] 03458a9e-f0ea-4e95-9c55-75721462acf5: does not qualify; 0.8 s; peak memory 257 MiB.
2026-09-17T20:55:41Z INFO [83/372] 0345d8a3-a5cc-4dbd-a587-119fa099bb0b: does not qualify; 1.0 s; peak memory 257 MiB.
2026-09-17T20:55:42Z INFO [84/372] 0345fb05-12ed-4af4-b459-128708850477: does not qualify; 0.8 s; peak memory 257 MiB.
2026-09-17T20:55:44Z INFO [85/372] 03463604-5296-48a3-9169-c90c6e33cad7: qualifies; 1.9 s; peak memory 257 MiB.
2026-09-17T20:55:45Z INFO [86/372] 0346ae94-a3ce-4f8a-bc61-d57ef25bd925: does not qualify; 1.1 s; peak memory 257 MiB.
2026-09-17T20:55:46Z INFO [87/372] 03476e20-8bd0-461e-8f65-dd198fdf4fc0: does not qualify; 0.9 s; peak memory 257 MiB.
2026-09-17T20:55:47Z INFO [88/372] 0348611c-b226-4e37-9a7a-df0669cb1782: does not qualify; 1.6 s; peak memory 257 MiB.
2026-09-17T20:55:49Z INFO [89/372] 0348beb6-a9ca-4c0c-b413-ad8397de3c7d: does not qualify; 1.1 s; peak memory 257 MiB.
2026-09-17T20:55:49Z INFO [90/372] 0348cc8f-2c8e-4bee-910d-f297f822aab0: does not qualify; 0.9 s; peak memory 257 MiB.
2026-09-17T20:55:54Z INFO [91/372] 034990bf-01fe-42f3-b6f1-a9374dcd0066: does not qualify; 4.1 s; peak memory 257 MiB.
2026-09-17T20:55:54Z INFO [92/372] 034a4374-232d-401c-9288-31e5ef206670: does not qualify; 0.8 s; peak memory 257 MiB.
2026-09-17T20:55:56Z INFO [93/372] 034ad8f1-bf60-41dd-bacd-c9ee2d7c71d0: does not qualify; 1.5 s; peak memory 257 MiB.
2026-09-17T20:55:57Z INFO [94/372] 034b24e2-b699-442d-9625-35dbee1395ef: does not qualify; 0.9 s; peak memory 257 MiB.
2026-09-17T20:55:58Z INFO [95/372] 034b904a-2535-4ebb-b627-0d294caa08fe: does not qualify; 0.8 s; peak memory 257 MiB.
2026-09-17T20:55:58Z INFO [96/372] 034d5b77-441e-43a2-a04d-6bedd64b3fc3: does not qualify; 0.7 s; peak memory 257 MiB.
2026-09-17T20:55:59Z INFO [97/372] 034e23ca-affb-43b4-aebe-02162fde2e1f: does not qualify; 0.9 s; peak memory 257 MiB.
2026-09-17T20:56:00Z INFO [98/372] 034e72c9-7891-4cec-aa2d-7579701e253f: does not qualify; 0.9 s; peak memory 257 MiB.
2026-09-17T20:56:09Z INFO [99/372] 034eb273-1e8a-4410-949e-a6871b2c0e83: does not qualify; 8.5 s; peak memory 257 MiB.
2026-09-17T20:56:10Z INFO [100/372] 034ed842-a008-4d73-a069-caf9d4a462f9: does not qualify; 1.0 s; peak memory 258 MiB.
2026-09-17T20:56:10Z INFO [100/372] 034ed842-a008-4d73-a069-caf9d4a462f9: checkpointed 48510 records.
2026-09-17T20:56:10Z INFO [101/372] 034f70b8-dde7-400e-bf1c-b38c8ea64315: does not qualify; 0.8 s; peak memory 258 MiB.
2026-09-17T20:56:11Z INFO [102/372] 034f976b-103c-455a-adfd-b202c3142320: does not qualify; 0.8 s; peak memory 258 MiB.
2026-09-17T20:56:12Z INFO [103/372] 035055d4-b113-430a-bd48-87ab6d55cef5: does not qualify; 0.9 s; peak memory 258 MiB.
2026-09-17T20:56:13Z INFO [104/372] 0350bdf8-0463-49a4-9e14-223b6b99aa54: does not qualify; 1.2 s; peak memory 258 MiB.
2026-09-17T20:56:14Z INFO [105/372] 0350cb7a-ae83-4a02-8bba-48f1d394070d: does not qualify; 1.0 s; peak memory 258 MiB.
2026-09-17T20:56:15Z INFO [106/372] 03513beb-e6d7-4426-ad0b-8eb6c2d9a3e9: does not qualify; 0.9 s; peak memory 258 MiB.
2026-09-17T20:56:16Z INFO [107/372] 03522f7c-36a3-47f8-80c3-05315333f89a: does not qualify; 0.9 s; peak memory 258 MiB.
2026-09-17T20:56:17Z INFO [108/372] 03525e41-fd14-4324-bb75-1151a39a89d0: does not qualify; 1.2 s; peak memory 258 MiB.
2026-09-17T20:56:22Z INFO [109/372] 0353b161-e5c3-4d09-a8f9-2002c88a197b: does not qualify; 5.0 s; peak memory 258 MiB.
2026-09-17T20:56:26Z INFO [110/372] 035407c0-01e5-4282-9881-2a82cb6e0ece: does not qualify; 3.5 s; peak memory 287 MiB.
2026-09-17T20:56:27Z INFO [111/372] 03541dbd-fdb1-4dc0-b4d5-3c93f12ca306: does not qualify; 1.1 s; peak memory 287 MiB.
2026-09-17T20:56:28Z INFO [112/372] 03553748-7730-479c-99f0-944d400569a3: does not qualify; 0.8 s; peak memory 287 MiB.
2026-09-17T20:56:29Z INFO [113/372] 0356024c-a95a-4d6c-9553-cef9c890bb6c: does not qualify; 0.9 s; peak memory 287 MiB.
2026-09-17T20:56:29Z INFO [114/372] 0356e792-4015-459e-85b5-84883cd137c7: does not qualify; 0.8 s; peak memory 287 MiB.
2026-09-17T20:56:30Z INFO [115/372] 0357d8f4-06f6-47a9-a340-cc12d5160c31: does not qualify; 1.0 s; peak memory 287 MiB.
2026-09-17T20:56:31Z INFO [116/372] 03584060-6183-4d46-8aef-e03954523b2c: does not qualify; 1.0 s; peak memory 287 MiB.
2026-09-17T20:56:33Z INFO [117/372] 035963d3-35e8-4a3e-ab35-e777ea8f180b: does not qualify; 1.2 s; peak memory 287 MiB.
2026-09-17T20:56:33Z INFO [118/372] 0359ab7f-ead0-4d29-89a3-2d7b222ee960: does not qualify; 0.9 s; peak memory 287 MiB.
2026-09-17T20:56:35Z INFO [119/372] 035d2ab2-b408-4024-9734-08f4001b6fef: does not qualify; 1.4 s; peak memory 287 MiB.
2026-09-17T20:56:42Z INFO [120/372] 035d7e09-4b1e-4e55-aba2-0108c0307bda: does not qualify; 7.6 s; peak memory 287 MiB.
2026-09-17T20:56:43Z INFO [121/372] 035e4100-b31d-46ee-8cf3-cffd1b45bb9b: does not qualify; 0.8 s; peak memory 287 MiB.
2026-09-17T20:56:44Z INFO [122/372] 035e8698-2903-4745-96d1-cbf452b495a6: does not qualify; 1.0 s; peak memory 287 MiB.
2026-09-17T20:56:46Z INFO [123/372] 035ea321-9263-492e-bf39-ac90bbc1e076: does not qualify; 1.6 s; peak memory 287 MiB.
2026-09-17T20:56:47Z INFO [124/372] 035f8da8-c282-4763-acd1-e6e254f65d29: does not qualify; 1.5 s; peak memory 287 MiB.
2026-09-17T20:56:49Z INFO [125/372] 035fb1c0-567d-4f59-9140-f0d7cdd67882: does not qualify; 1.6 s; peak memory 287 MiB.
2026-09-17T20:56:50Z INFO [126/372] 035ff603-49ef-41ce-bf8f-38e39f6f0780: does not qualify; 1.0 s; peak memory 287 MiB.
2026-09-17T20:56:52Z INFO [127/372] 036089c0-5bef-4f09-97b1-bc7e5ddaa441: does not qualify; 2.0 s; peak memory 287 MiB.
2026-09-17T20:56:53Z INFO [128/372] 0360b7ac-16ea-4852-823d-6525164e418d: does not qualify; 0.9 s; peak memory 287 MiB.
2026-09-17T20:56:54Z INFO [129/372] 0360e12b-d6c4-4094-bc19-6a125f427d38: does not qualify; 0.9 s; peak memory 287 MiB.
2026-09-17T20:56:56Z INFO [130/372] 0361752b-de7f-4a93-b272-4e35b9987ed0: does not qualify; 2.2 s; peak memory 287 MiB.
2026-09-17T20:56:57Z INFO [131/372] 036212a9-0cc2-4b88-af0f-f2ac683244f0: does not qualify; 1.0 s; peak memory 287 MiB.
2026-09-17T20:56:58Z INFO [132/372] 036217bf-e4b1-433e-8ca7-f2193e63991a: does not qualify; 0.8 s; peak memory 287 MiB.
2026-09-17T20:56:59Z INFO [133/372] 0362a1f6-e2d0-4115-9d80-477aca7e9258: does not qualify; 0.8 s; peak memory 287 MiB.
2026-09-17T20:57:00Z INFO [134/372] 0362fbde-a28a-428a-a17c-bfee09afdb6c: does not qualify; 1.1 s; peak memory 287 MiB.
2026-09-17T20:57:01Z INFO [135/372] 0363223b-f442-47fe-ba10-461f0d59c477: does not qualify; 1.1 s; peak memory 287 MiB.
2026-09-17T20:57:06Z INFO [136/372] 0363be5b-35e7-48c3-99eb-2114cd2f852d: does not qualify; 4.8 s; peak memory 287 MiB.
2026-09-17T20:57:07Z INFO [137/372] 03640b7e-7a8d-4421-99d8-3b7ab51d3ff5: does not qualify; 1.5 s; peak memory 287 MiB.
2026-09-17T20:57:11Z INFO [138/372] 036479ff-b638-4212-9329-6b5454fdc7a7: does not qualify; 4.2 s; peak memory 288 MiB.
2026-09-17T20:57:16Z INFO [139/372] 03649a8b-8d4d-4ae8-93d3-a7de6d91de8e: does not qualify; 4.4 s; peak memory 288 MiB.
2026-09-17T20:57:17Z INFO [140/372] 03663897-00d6-4966-8eed-80ffbf7b9ea5: does not qualify; 0.9 s; peak memory 288 MiB.
2026-09-17T20:57:17Z INFO [141/372] 0366e129-5f82-43db-8a33-33fea8391cb4: does not qualify; 0.8 s; peak memory 288 MiB.
2026-09-17T20:57:19Z INFO [142/372] 0366fa38-44be-4caa-8366-abf46045e308: does not qualify; 1.5 s; peak memory 288 MiB.
2026-09-17T20:57:20Z INFO [143/372] 036719e6-8d14-44a8-853b-8b7cd6c94ebd: does not qualify; 1.2 s; peak memory 288 MiB.
2026-09-17T20:57:21Z INFO [144/372] 036787b8-1205-4ca6-ae07-fa30d6d9ab41: does not qualify; 0.8 s; peak memory 288 MiB.
2026-09-17T20:57:22Z INFO [145/372] 0367d7ed-5bfe-4f60-b1eb-5fa6b7a33595: does not qualify; 1.0 s; peak memory 288 MiB.
2026-09-17T20:57:24Z INFO [146/372] 03686970-8ef3-4fe1-b01a-fd5336f55a48: does not qualify; 1.9 s; peak memory 288 MiB.
2026-09-17T20:57:28Z INFO [147/372] 036886da-2908-4b4d-acc4-4012b20eb69f: does not qualify; 4.1 s; peak memory 288 MiB.
2026-09-17T20:57:29Z INFO [148/372] 036a6fbe-2be9-4f4b-abe5-22cd936dda6b: does not qualify; 1.0 s; peak memory 288 MiB.
2026-09-17T20:57:30Z INFO [149/372] 036b84a2-7fb0-4fe5-abe3-0b664f03ea46: does not qualify; 0.8 s; peak memory 288 MiB.
