2026-09-25T16:22:12Z INFO Logging to /tmp/logs/update_2026-09-25T16-22-12Z.log.
2026-09-25T16:22:12Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-25T16:22:13Z INFO Processing 381 items (56905 already recorded).
2026-09-25T16:24:13Z INFO [42/381] 14e1824d-ffa8-4686-8aac-7a8a411efd44: does not qualify; 0.9 s; peak memory 427 MiB.
2026-09-25T16:24:13Z INFO [43/381] 14e19032-8955-4981-a154-a013e60d7770: does not qualify; 0.6 s; peak memory 427 MiB.
2026-09-25T16:24:15Z INFO [44/381] 14e1f074-a780-499c-9f1a-33223c093499: does not qualify; 1.5 s; peak memory 427 MiB.
2026-09-25T16:24:25Z INFO [45/381] 14e36315-9532-49bf-8949-56a9f89f9aeb: does not qualify; 10.3 s; peak memory 427 MiB.
2026-09-25T16:24:30Z INFO [46/381] 14e3ba7b-369c-4f98-b35b-5e10bbf23f21: does not qualify; 5.2 s; peak memory 427 MiB.
2026-09-25T16:24:31Z INFO [47/381] 14e3d007-dcc8-4bb2-b6b3-e7c70df77bfb: does not qualify; 0.7 s; peak memory 427 MiB.
2026-09-25T16:24:32Z INFO [48/381] 14e45160-0cd6-49eb-9f08-d8e187b271d7: does not qualify; 1.1 s; peak memory 427 MiB.
2026-09-25T16:24:33Z INFO [49/381] 14e4d6e0-4b8c-4fdc-8a2c-b7b25108a4f5: does not qualify; 0.7 s; peak memory 427 MiB.
2026-09-25T16:24:33Z INFO [50/381] 14e51520-a3d3-40e0-b048-65015ba6f282: does not qualify; 0.6 s; peak memory 427 MiB.
2026-09-25T16:24:33Z INFO [50/381] 14e51520-a3d3-40e0-b048-65015ba6f282: checkpointed 56955 records.
2026-09-25T16:24:38Z INFO [51/381] 14e580c3-c6c3-418b-b308-951e30ee48ff: does not qualify; 4.3 s; peak memory 427 MiB.
2026-09-25T16:24:38Z INFO [52/381] 14e6128b-ab28-4045-9531-bdba21892399: does not qualify; 0.6 s; peak memory 427 MiB.
2026-09-25T16:24:39Z INFO [53/381] 14e648bc-2aaf-4845-a4fd-3340f2e2a8c2: does not qualify; 0.7 s; peak memory 427 MiB.
2026-09-25T16:24:40Z INFO [54/381] 14e8af25-b5d4-4084-9754-29a1ed21dfbc: does not qualify; 0.6 s; peak memory 427 MiB.
2026-09-25T16:24:41Z INFO [55/381] 14e907c2-cee7-45fa-a999-06ca7006f311: does not qualify; 0.9 s; peak memory 427 MiB.
2026-09-25T16:24:45Z INFO [56/381] 14e9c297-0241-4f29-afc3-2c29c401c204: does not qualify; 4.6 s; peak memory 509 MiB.
2026-09-25T16:24:46Z INFO [57/381] 14ea233b-b38c-4653-be79-9db51c198b53: does not qualify; 0.6 s; peak memory 509 MiB.
2026-09-25T16:24:47Z INFO [58/381] 14ea847c-cc68-44ef-a367-2bfd5a715f60: does not qualify; 1.6 s; peak memory 509 MiB.
2026-09-25T16:24:48Z INFO [59/381] 14eb4a72-2d9b-4bfc-8b3b-9618d1f5a4c0: does not qualify; 1.2 s; peak memory 509 MiB.
2026-09-25T16:24:49Z INFO [60/381] 14eb5f99-a7f6-4560-8a39-10f5ee287f90: does not qualify; 0.6 s; peak memory 509 MiB.
2026-09-25T16:24:50Z INFO [61/381] 14eb7683-e269-492f-ad35-0c093612424b: does not qualify; 1.0 s; peak memory 509 MiB.
2026-09-25T16:24:51Z INFO [62/381] 14ee09a8-c29e-4b5d-9f6f-cd835e70066a: does not qualify; 1.0 s; peak memory 509 MiB.
2026-09-25T16:24:52Z INFO [63/381] 14ee6a4d-d7b8-4e46-b9f7-b76d926474a7: does not qualify; 0.6 s; peak memory 509 MiB.
2026-09-25T16:24:52Z INFO [64/381] 14ef610d-06cc-4a6c-87ed-6dadc37492ab: does not qualify; 0.5 s; peak memory 509 MiB.
2026-09-25T16:24:53Z INFO [65/381] 14f05a66-5c34-40fa-a9da-4b1b76099134: does not qualify; 0.6 s; peak memory 509 MiB.
2026-09-25T16:24:54Z INFO [66/381] 14f078dd-5b0b-4a77-bdbc-11d44e3cad4a: does not qualify; 1.6 s; peak memory 509 MiB.
2026-09-25T16:24:55Z INFO [67/381] 14f1af01-bf18-4904-a605-d8f1ce81dbe5: does not qualify; 0.5 s; peak memory 509 MiB.
2026-09-25T16:24:56Z INFO [68/381] 14f21e19-c31a-4a82-a9f5-d2a74e15aef9: does not qualify; 0.8 s; peak memory 509 MiB.
2026-09-25T16:24:57Z INFO [69/381] 14f3304f-48cd-495d-8986-58e6953e0631: does not qualify; 1.0 s; peak memory 509 MiB.
2026-09-25T16:24:57Z INFO [70/381] 14f349e0-6c34-498d-a7d9-06e96a1a0a5d: does not qualify; 0.7 s; peak memory 509 MiB.
2026-09-25T16:26:00Z INFO [71/381] 14f3507c-63c5-4e72-bca3-b004877c89bc: does not qualify; 62.8 s; peak memory 513 MiB.
2026-09-25T16:26:01Z INFO [72/381] 14f37951-de91-42e5-b55d-a33f91fa8d6f: does not qualify; 0.8 s; peak memory 513 MiB.
2026-09-25T16:26:02Z INFO [73/381] 14f43350-639c-4508-8ef7-c3cd74357401: does not qualify; 0.5 s; peak memory 513 MiB.
2026-09-25T16:26:02Z INFO [74/381] 14f4b69a-7f98-4a54-b98b-920382313995: does not qualify; 0.6 s; peak memory 513 MiB.
2026-09-25T16:26:03Z INFO [75/381] 14f4e496-20d3-447d-b9cf-5e5603293175: does not qualify; 0.7 s; peak memory 513 MiB.
2026-09-25T16:26:05Z INFO [76/381] 14f5103f-d016-44eb-8277-d42f91b3199f: does not qualify; 2.2 s; peak memory 513 MiB.
2026-09-25T16:26:06Z INFO [77/381] 14f5195d-8f41-4da7-bcc3-f65d172e8972: does not qualify; 1.0 s; peak memory 513 MiB.
2026-09-25T16:26:07Z INFO [78/381] 14f53915-0607-45d1-a392-7cbd03d9f7aa: does not qualify; 0.7 s; peak memory 513 MiB.
2026-09-25T16:26:09Z INFO [79/381] 14f58237-2fa1-4ba3-ac4f-61d58e916505: does not qualify; 2.0 s; peak memory 513 MiB.
2026-09-25T16:26:14Z INFO [80/381] 14f59e65-e355-4642-bb4e-43fde46814ee: does not qualify; 5.1 s; peak memory 513 MiB.
