2026-09-21T11:47:45Z INFO Logging to /tmp/logs/update_2026-09-21T11-47-45Z.log.
2026-09-21T11:47:45Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-21T11:47:47Z INFO Processing 367 items (52494 already recorded).
2026-09-21T11:49:46Z INFO [41/367] 0bd723d1-19b6-467f-8022-f1dbc32c4b43: does not qualify; 1.4 s; peak memory 508 MiB.
2026-09-21T11:49:51Z INFO [42/367] 0bd774c0-db6d-49a6-86c9-39356ebacc4d: does not qualify; 4.5 s; peak memory 508 MiB.
2026-09-21T11:49:53Z INFO [43/367] 0bd77fbd-e33f-4363-92ef-adfbc104d939: does not qualify; 1.9 s; peak memory 508 MiB.
2026-09-21T11:49:54Z INFO [44/367] 0bd7b8ca-5f3a-4006-a80c-0ccaa10ee260: does not qualify; 1.6 s; peak memory 508 MiB.
2026-09-21T11:49:56Z INFO [45/367] 0bd8a181-8f54-4aa7-beb5-d6c066d7fe19: does not qualify; 1.9 s; peak memory 508 MiB.
2026-09-21T11:49:58Z INFO [46/367] 0bd98929-2cdb-4fc6-a7e4-8eaeac2ea978: does not qualify; 1.6 s; peak memory 508 MiB.
2026-09-21T11:50:00Z INFO [47/367] 0bd9d269-df68-4864-883f-3bcb15551fc7: does not qualify; 2.0 s; peak memory 508 MiB.
2026-09-21T11:50:03Z INFO [48/367] 0bda658b-44e1-440b-b57a-773509d7a5ee: does not qualify; 2.7 s; peak memory 508 MiB.
2026-09-21T11:50:04Z INFO [49/367] 0bda89c4-99a8-47fd-9322-fe4c3af9fce6: does not qualify; 1.5 s; peak memory 508 MiB.
2026-09-21T11:50:06Z INFO [50/367] 0bdb5005-a976-4724-b1d6-8d85d9755053: does not qualify; 1.9 s; peak memory 508 MiB.
2026-09-21T11:50:06Z INFO [50/367] 0bdb5005-a976-4724-b1d6-8d85d9755053: checkpointed 52544 records.
2026-09-21T11:50:08Z INFO [51/367] 0bdb884b-79a5-4290-abc4-9448098db9d1: does not qualify; 1.9 s; peak memory 508 MiB.
2026-09-21T11:50:11Z INFO [52/367] 0bdc44aa-d27a-4935-a3fe-60f302fa798e: does not qualify; 2.8 s; peak memory 508 MiB.
2026-09-21T11:50:14Z INFO [53/367] 0bdc4685-162c-4ede-ae70-5424ca2f549c: does not qualify; 3.4 s; peak memory 508 MiB.
2026-09-21T11:50:16Z INFO [54/367] 0bdd04b3-0270-4289-a8e9-0a50898cf708: does not qualify; 1.9 s; peak memory 508 MiB.
2026-09-21T11:50:18Z INFO [55/367] 0bdd54c4-f1b7-4d4b-8680-693c9077917f: does not qualify; 2.1 s; peak memory 508 MiB.
2026-09-21T11:50:20Z INFO [56/367] 0bde8a3e-7ce7-4e76-a67c-b85b4faed006: does not qualify; 1.9 s; peak memory 508 MiB.
