2026-09-17T16:05:38Z INFO Logging to /tmp/logs/update_2026-09-17T16-05-38Z.log.
2026-09-17T16:05:38Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-17T16:05:39Z INFO Processing 385 items (48025 already recorded).
2026-09-17T16:06:40Z INFO [42/385] 0264a635-b276-45be-9dec-88484f1bc2bd: does not qualify; 0.7 s; peak memory 431 MiB.
2026-09-17T16:06:41Z INFO [43/385] 0264c460-d4cd-4c05-9aaf-527824b9c523: does not qualify; 0.6 s; peak memory 431 MiB.
2026-09-17T16:06:42Z INFO [44/385] 026504fc-3d87-47fc-acf8-eb8cabcf1d78: does not qualify; 1.3 s; peak memory 431 MiB.
2026-09-17T16:06:43Z INFO [45/385] 026535d4-f345-4e0d-a322-0989787fce36: does not qualify; 0.6 s; peak memory 431 MiB.
2026-09-17T16:06:43Z INFO [46/385] 0265e972-ce89-4e76-ad16-722e4b535f21: does not qualify; 0.6 s; peak memory 431 MiB.
2026-09-17T16:06:47Z INFO [47/385] 026668b1-7ebc-4629-b7e3-65ee751b810d: does not qualify; 3.5 s; peak memory 431 MiB.
2026-09-17T16:06:48Z INFO [48/385] 0266f327-f0e8-4906-bf87-c9044c231c47: does not qualify; 0.6 s; peak memory 431 MiB.
2026-09-17T16:06:49Z INFO [49/385] 026732de-e63f-4c3d-8697-27bd6f0b927a: does not qualify; 1.0 s; peak memory 431 MiB.
2026-09-17T16:06:49Z INFO [50/385] 02695368-ec1f-4f6f-a065-17083377175a: does not qualify; 0.6 s; peak memory 431 MiB.
2026-09-17T16:06:49Z INFO [50/385] 02695368-ec1f-4f6f-a065-17083377175a: checkpointed 48075 records.
2026-09-17T16:06:50Z INFO [51/385] 02698ca0-93ef-495e-9c98-10c2514fa4aa: does not qualify; 0.8 s; peak memory 431 MiB.
2026-09-17T16:06:51Z INFO [52/385] 026999f7-a034-4207-b483-9a840d0cd8d5: does not qualify; 0.9 s; peak memory 431 MiB.
2026-09-17T16:06:51Z INFO [53/385] 026a656d-cab6-489b-963c-dca1fa70da99: does not qualify; 0.4 s; peak memory 431 MiB.
2026-09-17T16:06:52Z INFO [54/385] 026aaef8-a741-49ee-8a08-da1a27af227c: does not qualify; 0.4 s; peak memory 431 MiB.
2026-09-17T16:06:53Z INFO [55/385] 026ae42b-9345-40e0-943c-c33cbdf5d4f1: does not qualify; 1.5 s; peak memory 431 MiB.
2026-09-17T16:06:54Z INFO [56/385] 026bebbd-e167-464d-b71c-0170734b09f4: does not qualify; 0.8 s; peak memory 431 MiB.
2026-09-17T16:06:55Z INFO [57/385] 026c0e13-b0f0-4143-8074-a3fbae51024a: does not qualify; 0.8 s; peak memory 431 MiB.
2026-09-17T16:06:56Z INFO [58/385] 026da8fc-01fd-4c50-b931-7513bb92e3d5: does not qualify; 1.0 s; peak memory 431 MiB.
2026-09-17T16:06:57Z INFO [59/385] 026ea2d4-80b0-4dfa-87c6-91467b5d7456: does not qualify; 0.7 s; peak memory 431 MiB.
2026-09-17T16:06:58Z INFO [60/385] 026ed2c0-0267-405b-a443-f610055369b3: does not qualify; 1.0 s; peak memory 431 MiB.
2026-09-17T16:06:59Z INFO [61/385] 026edd41-d5c4-4eb9-bce6-aec2b28d3adb: qualifies; 1.2 s; peak memory 431 MiB.
2026-09-17T16:07:00Z INFO [62/385] 026f2545-e025-438d-a346-5a83ea2623ea: does not qualify; 0.7 s; peak memory 431 MiB.
2026-09-17T16:07:00Z INFO [63/385] 026f8d08-f603-4e70-9471-3b1a17034aec: does not qualify; 0.8 s; peak memory 431 MiB.
2026-09-17T16:07:01Z INFO [64/385] 0270603b-3fb5-40e3-a96a-85e60f4e1baf: does not qualify; 0.8 s; peak memory 431 MiB.
2026-09-17T16:07:02Z INFO [65/385] 027104dc-4a1a-426e-88a0-b0b00153dbb0: does not qualify; 0.7 s; peak memory 431 MiB.
2026-09-17T16:07:03Z INFO [66/385] 02717735-65c6-4ae7-8b49-305d3830a819: does not qualify; 0.7 s; peak memory 431 MiB.
2026-09-17T16:07:04Z INFO [67/385] 02718419-2ed3-4aed-ba52-394f6e32bcd7: does not qualify; 1.5 s; peak memory 431 MiB.
2026-09-17T16:07:05Z INFO [68/385] 0272af92-c8e8-49c5-8603-fe47a19522bb: does not qualify; 0.9 s; peak memory 431 MiB.
2026-09-17T16:07:06Z INFO [69/385] 02732f18-5297-49be-9cdb-5ec2e5b3b8b4: does not qualify; 0.9 s; peak memory 431 MiB.
2026-09-17T16:07:07Z INFO [70/385] 027397dd-2162-47ac-9f65-0ddfd6b69879: does not qualify; 0.8 s; peak memory 431 MiB.
2026-09-17T16:07:07Z INFO [71/385] 02740701-1f67-45e0-b2a4-a7cbe7e62464: does not qualify; 0.7 s; peak memory 431 MiB.
2026-09-17T16:07:08Z INFO [72/385] 02743f50-6873-4dc0-b940-b80dc244fbe9: does not qualify; 1.0 s; peak memory 431 MiB.
2026-09-17T16:07:09Z INFO [73/385] 0275742a-fb13-4fd0-9feb-48a961e8ef61: does not qualify; 0.5 s; peak memory 431 MiB.
2026-09-17T16:07:09Z INFO [74/385] 02757e50-e816-4a32-a8ef-3952a3ec217c: does not qualify; 0.7 s; peak memory 431 MiB.
2026-09-17T16:07:16Z INFO [75/385] 0275dffb-2b13-4531-95aa-7d40f528b451: does not qualify; 6.2 s; peak memory 431 MiB.
2026-09-17T16:07:19Z INFO [76/385] 02777391-5056-4835-a6d1-b32817d184ca: does not qualify; 3.1 s; peak memory 431 MiB.
2026-09-17T16:07:19Z INFO [77/385] 0277c3fb-65b1-447b-b711-518f85f30f7d: does not qualify; 0.7 s; peak memory 431 MiB.
2026-09-17T16:07:20Z INFO [78/385] 0277f95e-dd03-4740-a987-14a28bd7752f: does not qualify; 0.7 s; peak memory 431 MiB.
2026-09-17T16:07:21Z INFO [79/385] 0277fd86-ed3f-4d1e-b0be-2300df8d0398: does not qualify; 0.8 s; peak memory 431 MiB.
2026-09-17T16:07:22Z INFO [80/385] 0278b8b4-9f79-49e9-918e-e4bd0a99f2c9: does not qualify; 0.7 s; peak memory 431 MiB.
2026-09-17T16:07:22Z INFO [81/385] 0278c933-c33d-4ac9-9f3a-14be8ec1ac1e: does not qualify; 0.4 s; peak memory 431 MiB.
2026-09-17T16:07:23Z INFO [82/385] 02796435-95b1-463b-b902-dc06bc9be988: does not qualify; 1.5 s; peak memory 431 MiB.
2026-09-17T16:07:24Z INFO [83/385] 02797d31-e8ef-481d-9149-2b81d191d1c0: does not qualify; 0.7 s; peak memory 431 MiB.
2026-09-17T16:07:25Z INFO [84/385] 027982cc-b57a-436c-a634-131180f11c2e: does not qualify; 0.6 s; peak memory 431 MiB.
2026-09-17T16:07:25Z INFO [85/385] 0279a7b7-9dc4-4d21-bf27-f03462f56851: does not qualify; 0.8 s; peak memory 431 MiB.
2026-09-17T16:07:28Z INFO [86/385] 0279dca2-9cb3-44ba-8483-5c377e21acac: does not qualify; 3.0 s; peak memory 431 MiB.
2026-09-17T16:07:29Z INFO [87/385] 027a144b-972f-4180-896b-734131520208: does not qualify; 0.7 s; peak memory 431 MiB.
2026-09-17T16:07:30Z INFO [88/385] 027a7730-53ff-4421-8ef0-a2d633d65e25: does not qualify; 1.2 s; peak memory 431 MiB.
2026-09-17T16:07:31Z INFO [89/385] 027adeb8-c4b7-427b-a077-7324df21255d: does not qualify; 1.0 s; peak memory 431 MiB.
2026-09-17T16:07:35Z INFO [90/385] 027b10c9-78fd-4aa7-ab67-81482fe1c215: does not qualify; 3.2 s; peak memory 431 MiB.
2026-09-17T16:07:36Z INFO [91/385] 027d699e-242e-4213-b29f-f1ef09dd2f58: does not qualify; 1.2 s; peak memory 431 MiB.
2026-09-17T16:07:40Z INFO [92/385] 027dce51-df65-498c-9e04-3f842e8c4418: does not qualify; 3.8 s; peak memory 431 MiB.
2026-09-17T16:07:40Z INFO [93/385] 027f323e-e5aa-4fc9-8325-1a0801c471a7: does not qualify; 0.9 s; peak memory 431 MiB.
2026-09-17T16:07:41Z INFO [94/385] 02806552-1931-4326-9b41-78b57b043661: does not qualify; 0.6 s; peak memory 431 MiB.
2026-09-17T16:07:42Z INFO [95/385] 028065d0-64d8-4609-99ec-92b978434b87: does not qualify; 0.8 s; peak memory 431 MiB.
2026-09-17T16:07:42Z INFO [96/385] 02815e50-4d08-47c5-b2dc-c962bef41956: does not qualify; 0.5 s; peak memory 431 MiB.
2026-09-17T16:07:43Z INFO [97/385] 0281843e-d70d-48fa-9fd4-31d528791927: does not qualify; 0.3 s; peak memory 431 MiB.
2026-09-17T16:07:43Z INFO [98/385] 02822f47-95be-4b3a-aac2-e1f86eccb6d0: does not qualify; 0.6 s; peak memory 431 MiB.
2026-09-17T16:07:44Z INFO [99/385] 02824bdd-446c-4ed9-bd3c-a3a17c926ca0: does not qualify; 0.5 s; peak memory 431 MiB.
2026-09-17T16:07:44Z INFO [100/385] 02829433-4773-404a-9d2e-32d2e45cd77a: does not qualify; 0.6 s; peak memory 431 MiB.
